year,PrisonPopulation,AgeUnder20,Age20to29,Age30to39,Age40to49,Age50to59,Age60to69,Age70to79,Age80to89,Age90over
1975,17373,925,8234,3944,2313,1313,404,107,0,0
1976,18484,812,8829,4344,2384,1434,446,107,0,0
1977,18168,752,8531,4535,2279,1380,475,107,0,0
1978,16878,692,7876,4402,2068,1215,421,100,0,0
1979,16696,641,7569,4639,2054,1182,414,91,5,0
1980,16821,602,7482,4844,2121,1182,402,85,9,0
1981,17642,581,7811,5177,2239,1187,460,82,13,0
1982,18431,562,7837,5630,2463,1260,481,93,15,0
1983,18421,432,7421,5969,2594,1323,482,100,14,0
1984,17062,319,6439,5800,2603,1248,456,94,15,0
1985,17377,374,6239,6024,2784,1251,509,96,17,0
1986,18056,360,6290,6365,3000,1287,545,109,17,0
1987,17847,323,6032,6352,3099,1301,522,117,19,0
1988,18385,358,6009,6594,3377,1276,520,143,26,0
1989,19855,419,6423,7173,3702,1327,554,137,37,1
1990,21378,434,6865,7772,4026,1418,590,150,37,3
1991,24133,490,7943,8691,4599,1509,617,164,33,5
1992,26826,589,9057,9586,5030,1634,622,177,42,7
1993,29059,655,10049,10262,5487,1690,615,176,41,7
1994,30039,688,10357,10609,5720,1741,622,182,38,9
1995,30028,599,10353,10498,6041,1807,580,135,11,1
1996,30455,521,10382,10469,6449,1924,555,144,10,1
1997,30592,525,10208,10431,6664,2027,570,150,16,1
1998,30592,519,9980,10257,6862,2256,561,133,22,2
1999,29474,438,9330,9708,6875,2371,585,142,23,2
2000,29068,408,8912,9403,7001,2521,637,162,23,1
2001,29381,404,8897,9294,7227,2673,693,173,18,1
2002,29964,285,8836,9320,7597,2952,768,179,25,1
2003,30849,280,8943,9367,8020,3177,824,208,29,1
2004,33071,257,9208,10229,8697,3541,884,223,32,0
2005,35218,259,9364,10968,9374,4008,990,217,37,1
2006,37457,278,9676,11557,10029,4508,1153,206,49,1
2007,39445,285,9882,12196,10533,4970,1274,253,50,2
2008,42246,332,10456,13052,11145,5478,1436,293,51,3
2009,44819,432,11143,13799,11526,5981,1582,298,54,4
2010,45883,351,11551,13965,11542,6412,1666,336,55,5
2011,47010,333,11668,14264,11653,6862,1819,347,59,5
2012,43605,269,10664,13144,10649,6506,1918,388,62,5
2013,43545,206,10638,13010,10405,6789,2026,399,67,5
2014,34550,81,7380,10335,8555,5813,1926,389,64,7
2015,37262,89,8100,11232,9038,6154,2151,421,70,7
2006,37457,278,9676,11557,10029,4508,1153,206,49,1
2017,38223,58,7785,11873,9204,6333,2358,522,78,12
2018,40262,69,8122,12670,9699,6572,2511,543,72,4
2019,34503,159,6525,10653,8493,5790,2309,505,67,2
2020,38726,73,6695,12183,9704,6565,2780,632,88,6